# Samsung SM-S928B (e3q) ZZHL vendor-DLKM KMI CRC compatibility baseline
# Firmware: S928BXXU6ZZHL; stock kernel: 6.1.162-android14-11-34343818-abS928BXXU6ZZHL
# Extracted from supplied vendor_dlkm.new.dat (SHA-256 65840e49d5980d21dcb0db4732e1acc10116fd2169e98e79927c7f5ded19f7b2).
# All 2469 retained DZH2 strict symbols have identical ZZHL CRCs; seven
# DZH2-only imports are absent. ZZHL has 1642 additional
# vendor-internal imports outside this kernel-facing strict set.
# ZZHL vendor_boot validation: 411 modules, 2139 strict baseline-overlap symbols.
# Scope: all retained kernel-facing ZZHL vendor-DLKM imports in the proven strict set.
# Device audit: 0 internal CRC conflicts across 351 vendor_dlkm modules.
# 1675 exact CRCs; 794 known Samsung/GKI CRC differences require the audited strict repair.
# symbol	device_crc	validated_build_crc	modules
__cpu_present_mask	0xb3055449	0xb3055449	coresight;msm_performance;qca_cld3_kiwi_v2;sec_qc_hw_param
__cpuhp_remove_state	0x82d7e59a	0x82d7e59a	coresight_cti;qca_cld3_kiwi_v2;qti_cpufreq_cdev
__cpuhp_setup_state	0x4d01ac5c	0x4d01ac5c	qca_cld3_kiwi_v2;qcom_lpm;qti_cpufreq_cdev
__cpuhp_setup_state_cpuslocked	0x9ac0587f	0x9ac0587f	coresight_cti;msm_performance
__crypto_memneq	0x5a44f8cb	0x5a44f8cb	mac80211
__crypto_xor	0xa3f12f69	0xa3f12f69	mac80211
__dev_change_net_namespace	0x80432a75	0xa4af3756	cfg80211
__dev_get_by_index	0xecfcb475	0x844ddcb7	cfg80211;rmnet_core;rmnet_perf_tether
__dev_kfree_skb_any	0x28b967c1	0x92e56928	dev_ril_bridge;ipam;mac80211;qca_cld3_kiwi_v2;rmnet_core;smsc75xx;smsc95xx;usb_f_gsi;wonder
__dev_queue_xmit	0xf4b25665	0xbf0c9474	delayed_sack;mac80211;rmnet_core;rmnet_wlan;wonder
__devm_iio_device_register	0x7930d674	0x7930d674	qcom_spmi_adc5_gen3
__devm_irq_alloc_descs	0x15defecf	0x15defecf	mfd_max77775;mfd_s2mpb02
