# Samsung SM-S928B (e3q) vendor-DLKM KMI CRC baseline
# Firmware: S928BXXS6DZG1; kernel: 6.1.145-android14-11-33419968-abS928BXXS6DZG1
# Captured over rooted ADB on 2026-08-09 from 351 persistent vendor_dlkm modules.
# Includes kernel-KMI imports present in Android 14/6.1 2025-09 ABI lists.
# Device audit: 0 kernel CRC conflicts; 0 DLKM export conflicts; 0 importer/provider mismatches.
# symbol	crc	modules
bpf_trace_run4	0xc7b92fda	camera;cfg80211;frpc_adsprpc;mac80211;msm_drm;msm_kgsl;msm_video;qca_cld3_kiwi_v2;qcom_lpm;rmnet_core;smcinvoke_dlkm
bpf_trace_run5	0x267d05bf	camera;cfg80211;frpc_adsprpc;gsim;ipam;mac80211;msm_kgsl;qca_cld3_kiwi_v2;qcom_lpm;rmnet_core;smcinvoke_dlkm
bpf_trace_run6	0xa69c2a3c	cfg80211;frpc_adsprpc;mac80211;msm_drm;msm_kgsl;msm_video;qca_cld3_kiwi_v2;rmnet_core
bpf_trace_run7	0xb5e91f0b	camera;cfg80211;frpc_adsprpc;msm_kgsl;msm_video;qca_cld3_kiwi_v2;rmnet_core
bpf_trace_run8	0x63b71df2	cfg80211;msm_drm;rmnet_core;smcinvoke_dlkm
build_skb	0xb7cab24f	qca_cld3_kiwi_v2;rmnet_core
bus_find_device	0x78729785	camera;coresight;coresight_tmc_sec;msm_kgsl;sec_qc_qcom_wdt_core
bus_for_each_dev	0x8963bd73	coresight
bus_register	0x289cfdfc	coresight;drm_dp_aux_bus;frpc_adsprpc;gpr_dlkm;mhi;slimbus;swr_dlkm
bus_unregister	0xf469358a	coresight;drm_dp_aux_bus;frpc_adsprpc;gpr_dlkm;mhi;slimbus;swr_dlkm
call_rcu	0x28aa6a67	mac80211;rmnet_perf
cancel_delayed_work	0xda571594	adsp_factory_module;cfg80211;health_monitor;input_booster_lkm;ipam;mac80211;max77705_charger;max77705_fuelgauge;max77775_charger;max77775_fuelgauge;msm_drm;msm_eva;msm_video;nu1668_charger;pca9481_charger;pdic_max77705;pdic_max77775;qca_cld3_kiwi_v2;qti_amoled_ecm;sec_battery;snd_soc_cirrus_amp;snd_soc_cs35l43_i2c;stm_ts_spi;synaptics_ts_spi;usb_typec_manager;wez02
cancel_delayed_work_sync	0xf8beca97	adsp_factory_module;blk_sec_stats;cfg80211;cnss2;dwc3_msm;gh_rm_booster;gsim;hall_ic;health_monitor;ipam;lpass_cdc_tx_macro_dlkm;lpass_cdc_va_macro_dlkm;mac80211;max77775_charger;mbhc_dlkm;mfd_max77775;msm_drm;msm_video;nfc_nxp_sec;pci_msm_drv;pdic_max77705;pdic_max77775;qca_cld3_kiwi_v2;radio_i2c_rtc6226_qca;rmnet_aps;rmnet_core;rmnet_perf;rmnet_shs;s2dos05_regulator;sec_battery;sec_common_fn;sec_qc_user_reset;sec_vibrator_inputff_module;ssg;stm_ts_spi;synaptics_ts_spi;usb_f_ss_mon_gadget;usb_notify_layer;wez02
cancel_work_sync	0xd969d6f4	adsp_factory_module;bwmon;bwprof;camera;cfg80211;cnss2;cnss_plat_ipc_qmi_svc;dwc3_msm;fingerprint;flicker_sensor;hvc_gunyah;input_cs40l26_i2c;ipam;leds_qpnp_vibrator_ldo;leds_qti_tri_led;leds_s2mpb02;mac80211;mbhc_dlkm;mfd_max77705;mfd_max77775;mhi;mhi_dev_satellite;msm_drm;msm_kgsl;msm_video;pci_msm_drv;pdic_max77705;pdic_max77775;pdr_interface;qca_cld3_kiwi_v2;qcom_glink;qcom_smd;qcom_spmi_adc5_gen3;qcrypto_msm_dlkm;qmi_helpers;qseecom_dlkm;radio_i2c_rtc6226_qca;rmnet_aps;rmnet_core;rmnet_mem;rmnet_shs;sec_common_fn;sec_pon_alarm;sec_vibrator_inputff_module;smsc75xx;snd_soc_cs35l45_i2c;snd_soc_wm_adsp;stmvl53l8;swr_ctrl_dlkm;usb_f_qdss;wcd_usbss_i2c;wonder
capable	0xc6cbbc89	sdhci_msm_sec
cdev_add	0xf27a67e1	adsp_sleepmon;audio_pkt_dlkm;audpkt_ion_dlkm;coresight_tmc;coresight_tmc_sec;fingerprint;frpc_adsprpc;glink_pkt;health_monitor;ipam;msm_drm;msm_eva;msm_kgsl;nfc_nxp_sec;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_ramdump;qcom_stats;qsee_ipc_irq_bridge;qseecom_dlkm;rdbg;sg;smcinvoke_dlkm;smmu_proxy_dlkm;spcom;spss_utils;sync_fence;synx_driver;ubwcp;usb_f_ccid;usb_f_gsi
cdev_alloc	0x00198a28	sg;sync_fence
cdev_del	0x61ee3bf2	adsp_sleepmon;audio_pkt_dlkm;audpkt_ion_dlkm;coresight_tmc_sec;fingerprint;frpc_adsprpc;glink_pkt;health_monitor;ipam;msm_drm;msm_eva;nfc_nxp_sec;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_ramdump;qcom_stats;qrng_dlkm;qsee_ipc_irq_bridge;qseecom_dlkm;rdbg;sg;smcinvoke_dlkm;smmu_proxy_dlkm;spcom;sync_fence;synx_driver;ubwcp;usb_f_ccid;usb_f_gsi
cdev_device_add	0x15ffed1b	usb_f_cdev
cdev_device_del	0x5d326315	usb_f_cdev
cdev_init	0x7d3657fd	adsp_sleepmon;audio_pkt_dlkm;audpkt_ion_dlkm;coresight_tmc;coresight_tmc_sec;fingerprint;frpc_adsprpc;glink_pkt;health_monitor;ipam;msm_drm;msm_eva;msm_kgsl;nfc_nxp_sec;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_ramdump;qcom_stats;qrng_dlkm;qsee_ipc_irq_bridge;qseecom_dlkm;rdbg;smcinvoke_dlkm;smmu_proxy_dlkm;spcom;spss_utils;sync_fence;synx_driver;ubwcp;usb_f_ccid;usb_f_cdev;usb_f_gsi
cgroup_path_ns	0x84c7051f	msm_sysstats
check_move_unevictable_pages	0x6e8d0410	msm_kgsl
check_zeroed_user	0x3ff94393	msm_kgsl
class_create_file_ns	0x7f96615d	input_booster_lkm;nfc_nxp_sec
class_destroy	0xd5fc0938	adsp_sleepmon;audio_pkt_dlkm;audpkt_ion_dlkm;bt_fm_slim;btpower;coresight_tmc;coresight_tmc_sec;fingerprint;fingerprint_sysfs;frpc_adsprpc;glink_pkt;health_monitor;input_booster_lkm;ipam;lcd;mhi_dev_uci;msm_drm;msm_eva;msm_kgsl;nfc_nxp_sec;pdic_max77705;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_stats;qfs4008_spidev;qrng_dlkm;qsee_ipc_irq_bridge;qseecom_dlkm;rdbg;sec_audio_sysfs;sec_switch_class;sec_vibrator_inputff_module;sensors_core;sg;smcinvoke_dlkm;smmu_proxy_dlkm;snd_soc_cirrus_amp;spcom;sps_drv;spss_utils;sync_fence;synx_driver;ubwcp;usb_f_ccid;usb_f_cdev;usb_f_gsi;usb_notify_layer;vibrator_vib_info
class_find_device	0x6af5a23e	stm_core
class_interface_unregister	0x040bd461	sg
class_remove_file_ns	0xe11eda7f	nfc_nxp_sec
class_unregister	0x69bef55d	cfg80211;hwmon;msm_drm;stm_core
cleanup_srcu_struct	0x68fe9814	msm_kgsl;stm_core
clear_page	0x3d9ee9f0	msm_kgsl
clk_bulk_disable	0x479f7d4b	msm_kgsl;sdhci_msm_sec
clk_bulk_enable	0xc7a7e770	msm_kgsl;sdhci_msm_sec
clk_bulk_prepare	0xead5c8e5	msm_kgsl;sdhci_msm_sec
clk_bulk_unprepare	0x63c08029	msm_kgsl;sdhci_msm_sec
clk_disable	0xb6e6d99d	bam_dma;btpower;camera;cnss2;coresight_csr;coresight_funnel;coresight_hwevent;coresight_replicator;coresight_stm;coresight_tmc_sec;dwc3_msm;eud;i2c_msm_geni;i3c_master_msm_geni;ipam;llcc_perfmon;lpass_cdc_dlkm;lpass_cdc_rx_macro_dlkm;msm_drm;msm_eva;msm_geni_serial;msm_kgsl;msm_video;nfc_nxp_sec;pci_msm_drv;phy_generic;phy_msm_snps_eusb2;phy_msm_ssusb_qmp;qce50_dlkm;qcom_q6v5_pas;qcom_spss;qrng_dlkm;qseecom_dlkm;qti_fixed_regulator;sdhci_msm_sec;sec_common_fn;spf_core_dlkm;spi_msm_geni;spmi_pmic_arb_debug;sps_drv;ubwcp
clk_enable	0x815588a6	bam_dma;btpower;camera;cnss2;coresight_csr;coresight_funnel;coresight_hwevent;coresight_replicator;coresight_stm;coresight_tmc_sec;dwc3_msm;eud;i2c_msm_geni;i3c_master_msm_geni;ipam;llcc_perfmon;lpass_cdc_dlkm;lpass_cdc_rx_macro_dlkm;msm_drm;msm_eva;msm_geni_serial;msm_kgsl;msm_video;nfc_nxp_sec;pci_msm_drv;phy_generic;phy_msm_snps_eusb2;phy_msm_ssusb_qmp;qce50_dlkm;qcom_q6v5_pas;qcom_spss;qrng_dlkm;qseecom_dlkm;qti_fixed_regulator;sdhci_msm_sec;sec_common_fn;spf_core_dlkm;spi_msm_geni;spmi_pmic_arb_debug;sps_drv;ubwcp
clk_get	0x5d2bc299	camera;ipam;msm_drm;msm_eva;msm_kgsl;nfc_nxp_sec;pci_msm_drv;qce50_dlkm;qrng_dlkm;qseecom_dlkm;sps_drv
clk_get_rate	0x556e4390	camera;msm_drm;msm_kgsl;phy_msm_snps_eusb2;sdhci_msm_sec
clk_hw_get_name	0x7e1ec924	debugcc_cliffs;debugcc_pineapple;debugcc_volcano;msm_drm
clk_hw_get_num_parents	0x0fc1ea2b	wcd9xxx_dlkm
clk_prepare	0x7c9a7371	bam_dma;btpower;camera;cnss2;coresight_csr;coresight_funnel;coresight_hwevent;coresight_replicator;coresight_stm;coresight_tmc_sec;dwc3_msm;eud;i2c_msm_geni;i3c_master_msm_geni;ipam;llcc_perfmon;lpass_cdc_dlkm;lpass_cdc_rx_macro_dlkm;msm_drm;msm_eva;msm_geni_serial;msm_kgsl;msm_video;nfc_nxp_sec;pci_msm_drv;phy_generic;phy_msm_snps_eusb2;phy_msm_ssusb_qmp;qce50_dlkm;qcom_q6v5_pas;qcom_spss;qrng_dlkm;qseecom_dlkm;qti_fixed_regulator;sdhci_msm_sec;sec_common_fn;spf_core_dlkm;spi_msm_geni;spmi_pmic_arb_debug;sps_drv;ubwcp
clk_put	0x2e1ca751	camera;ipam;msm_drm;msm_eva;msm_kgsl;qce50_dlkm;qrng_dlkm;qseecom_dlkm;sps_drv
clk_register	0x2e6edf21	msm_drm
clk_round_rate	0x43f81957	camera;dwc3_msm;msm_drm;msm_eva;msm_kgsl;msm_mmrm;msm_video;phy_msm_ssusb_qmp;sdhci_msm_sec
clk_set_parent	0x2396c7f0	msm_drm;pci_msm_drv;phy_msm_ssusb_qmp
clk_set_rate	0x76d9b876	camera;cnss2;dwc3_msm;i3c_master_msm_geni;ipam;msm_drm;msm_eva;msm_geni_serial;msm_kgsl;msm_mmrm;msm_video;pci_msm_drv;phy_generic;phy_msm_ssusb_qmp;qce50_dlkm;qseecom_dlkm;sdhci_msm_sec;smsc;spi_msm_geni
clk_unprepare	0xb077e70a	bam_dma;btpower;camera;cnss2;coresight_csr;coresight_funnel;coresight_hwevent;coresight_replicator;coresight_stm;coresight_tmc_sec;dwc3_msm;eud;i2c_msm_geni;i3c_master_msm_geni;ipam;llcc_perfmon;lpass_cdc_dlkm;lpass_cdc_rx_macro_dlkm;msm_drm;msm_eva;msm_geni_serial;msm_kgsl;msm_video;nfc_nxp_sec;pci_msm_drv;phy_generic;phy_msm_snps_eusb2;phy_msm_ssusb_qmp;qce50_dlkm;qcom_q6v5_pas;qcom_spss;qrng_dlkm;qseecom_dlkm;qti_fixed_regulator;sdhci_msm_sec;sec_common_fn;spf_core_dlkm;spi_msm_geni;spmi_pmic_arb_debug;sps_drv;ubwcp
close_fd	0xb6fde909	smcinvoke_dlkm
cma_get_name	0xe71d2220	cnss2
compat_ptr_ioctl	0xd3720693	sg;smmu_proxy_dlkm;stm_core
complete	0xa6257a2f	adsp_sleepmon;camera;cdsprm;cnss2;cnss_plat_ipc_qmi_svc;dmesg_dumper;frpc_adsprpc;gsim;i2c_msm_geni;i3c_master_msm_geni;input_cs40l26_i2c;ipam;ipclite_test;mbhc_dlkm;mhi;mhi_dev_satellite;msm_drm;msm_eva;msm_geni_serial;msm_kgsl;msm_performance;msm_video;pci_msm_drv;pdic_max77705;pdic_max77775;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_glink;qcom_iommu_debug;qcom_q6v5;qcom_q6v5_pas;qcom_spmi_adc5_gen3;qcom_spss;qcom_sysmon;qcrypto_msm_dlkm;qmi_helpers;radio_i2c_rtc6226_qca;rdbg;slim_qcom_ngd_ctrl;slimbus;snd_soc_cs35l45_i2c;spi_msm_geni;sps_drv;stm_ts_spi;swr_ctrl_dlkm;synaptics_ts_spi;usb_f_qdss;usb_notify_layer
complete_all	0x93d6dd8c	camera;cdsprm;cnss2;frpc_adsprpc;glink_pkt;i2c_msm_geni;i3c_master_msm_geni;input_cs40l26_i2c;ipam;mfd_max77705;mfd_max77775;mhi;msm_drm;msm_eva;msm_gpi;msm_kgsl;qca_cld3_kiwi_v2;qcom_glink;qcom_ramdump;qrtr_mhi;sec_common_fn;slim_qcom_ngd_ctrl;spcom;spi_msm_geni;spss_utils;stm_ts_spi;synaptics_ts_spi;usb_f_gsi;wez02
completion_done	0xddf6ad7a	glink_pkt;msm_drm;msm_eva;msm_kgsl;qcom_glink;qcom_q6v5;qcom_ramdump;snd_soc_cs40l26
component_add	0xecc09b4d	camera;cnss2;msm_drm;msm_kgsl;msm_video;wcd938x_slave_dlkm;wcd939x_slave_dlkm
component_bind_all	0x30b703f5	camera;msm_drm;msm_kgsl;msm_video;wcd938x_dlkm;wcd939x_dlkm;wonder
component_del	0x8c7aa996	camera;cnss2;msm_kgsl;msm_video;wcd938x_slave_dlkm;wcd939x_slave_dlkm
component_master_add_with_match	0xd7a582bc	camera;msm_drm;msm_kgsl;msm_video;wcd938x_dlkm;wcd939x_dlkm;wonder
component_master_del	0x7996b226	camera;msm_drm;msm_kgsl;msm_video;wcd938x_dlkm;wcd939x_dlkm;wonder
component_match_add_release	0xf4013a82	camera;msm_drm;msm_kgsl;msm_video;wcd938x_dlkm;wcd939x_dlkm;wonder
component_unbind_all	0xd241f9aa	camera;msm_drm;msm_kgsl;msm_video;wcd938x_dlkm;wcd939x_dlkm;wonder
config_ep_by_speed	0xeedd3616	usb_f_ccid;usb_f_cdev;usb_f_conn_gadget;usb_f_gsi;usb_f_qdss;usb_f_ss_acm
config_group_init	0xd308809a	coresight;stm_core
config_group_init_type_name	0x9681b115	coresight;stm_core;usb_f_ccid;usb_f_cdev;usb_f_conn_gadget;usb_f_gsi;usb_f_qdss;usb_f_ss_acm;usb_f_ss_mon_gadget
config_item_get	0xe5c15bfd	stm_core
config_item_put	0xdf86c97a	stm_core
config_item_set_name	0xe3e62ffe	coresight
configfs_register_group	0x5fb755e8	coresight
configfs_register_subsystem	0xee694c37	coresight;stm_core
configfs_unregister_group	0xbd433fe2	coresight
configfs_unregister_subsystem	0x4657cbc7	coresight;stm_core
console_stop	0xe3dca1d3	msm_geni_serial
console_suspend_enabled	0x0366307a	msm_geni_serial
consume_skb	0x925b1655	cfg80211;delayed_sack;mac80211;qca_cld3_kiwi_v2;qrtr_mhi;qrtr_smd;rmnet_core;rmnet_shs
contig_page_data	0xce482787	mem_hooks;msm_sysstats
cpu_all_bits	0xd994ecee	msm_drm
cpu_bit_bitmap	0x62ad2053	qcom_lpm
cpu_hwcaps	0x79e4c52b	adsp_sleepmon;audio_pkt_dlkm;btpower;camera;cnss_utils;coresight_tmc;coresight_tmc_sec;dev_ril_bridge;dmesg_dumper;fingerprint;frpc_adsprpc;glink_pkt;gsim;input_cs40l26_i2c;ipam;kperfmon;mhi_dev_uci;msm_drm;msm_eva;msm_hw_fence;msm_kgsl;msm_video;nb7vpq904m;nfc_nxp_sec;pci_msm_drv;pdic_max77705;pdic_notifier_module;phy_msm_snps_eusb2;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_iommu_debug;qcom_stats;qseecom_dlkm;radio_i2c_rtc6226_qca;rdbg;sec_battery;sec_common_fn;sec_pon_alarm;sec_qc_user_reset;sec_rdx_bootdev;sec_vibrator_inputff_module;sg;smcinvoke_dlkm;smmu_proxy_dlkm;snd_debug_proc;snd_soc_cs35l45_i2c;snd_soc_wm_adsp;snvm;spcom;sps_drv;spss_utils;stm_core;stm_ts_spi;stmvl53l8;swr_ctrl_dlkm;sync_fence;synx_driver;thermal_config;ubwcp;usb_f_ccid;usb_f_cdev;usb_f_conn_gadget;usb_f_gsi;uwb;wcd938x_slave_dlkm;wcd939x_slave_dlkm;wsa883x_dlkm;wsa884x_dlkm
cpu_latency_qos_add_request	0x589e1a22	blk_sec_stats;cdsprm;cnss2;dwc3_msm;swr_ctrl_dlkm
cpu_latency_qos_remove_request	0x3aaa15b2	blk_sec_stats;cnss2;dwc3_msm;swr_ctrl_dlkm
cpu_latency_qos_update_request	0xdc528096	blk_sec_stats;cdsprm;dwc3_msm;swr_ctrl_dlkm
cpu_number	0xf8b9acd3	bam_dma;bwmon;bwprof;camera;cfg80211;coresight;coresight_cti;cpucp_log;frpc_adsprpc;glink_probe;gsim;hwmon;i2c_msm_geni;i3c_master_msm_geni;ipam;mac80211;memlat;msm_drm;msm_geni_serial;msm_kgsl;msm_memshare;msm_video;qca_cld3_kiwi_v2;qcom_lpm;qcom_q6v5;qcom_q6v5_pas;qcom_sysmon;qcrypto_msm_dlkm;qsee_ipc_irq_bridge;rmnet_core;rmnet_shs;rproc_qcom_common;slim_qcom_ngd_ctrl;smcinvoke_dlkm;spi_msm_geni;ssg;stm_ftrace;stm_p_ost;ubwcp
cpu_pm_register_notifier	0x444f1735	coresight_cti
cpu_pm_unregister_notifier	0x4f98d766	coresight_cti
cpu_scale	0x54552241	msm_performance
cpu_subsys	0x94715028	bwprof;c1dcvs_scmi_v2;core_hang_detect;cpufreq_limit;dynpf_scmi;qcom_lpm
cpu_topology	0x0de6d465	core_hang_detect;frpc_adsprpc;msm_eva;qca_cld3_kiwi_v2;sec_qc_smem
cpufreq_cpu_get	0x70475977	blk_sec_stats;cpu_voltage_cooling;cpufreq_limit;gh_rm_booster;msm_kgsl;msm_performance;qti_cpufreq_cdev;rmnet_shs
cpufreq_cpu_put	0xeff012e0	blk_sec_stats;cpu_voltage_cooling;cpufreq_limit;msm_kgsl;msm_performance;qti_cpufreq_cdev
cpufreq_quick_get_max	0x33f0768c	qca_cld3_kiwi_v2
cpufreq_table_index_unsorted	0x76dd70d6	cpufreq_limit
cpuidle_governor_latency_req	0xc319717f	qca_cld3_kiwi_v2;qcom_lpm
cpuidle_register_governor	0x61b8fbb1	qcom_lpm
cpus_read_lock	0xa04f945a	coresight_cti;msm_performance;rmnet_shs;ubwcp
cpus_read_unlock	0x18fb2caf	coresight_cti;msm_performance;rmnet_shs;ubwcp
crc16	0xbd6841d4	smsc75xx;smsc95xx
crc32_be	0x4df02057	mac80211
crc32_le	0x69dd3b5b	camera;cfg80211;mac80211;smsc75xx;smsc95xx;synaptics_ts_spi
crc8	0x9c5d5b94	pci_msm_drv
crc8_populate_msb	0xaa8106bc	pci_msm_drv
create_function_device	0x396050dd	usb_f_conn_gadget
crypto_aead_decrypt	0x80c539ad	mac80211
crypto_aead_encrypt	0x3d564936	mac80211;qca_cld3_kiwi_v2
crypto_aead_setauthsize	0x5de839de	mac80211;qca_cld3_kiwi_v2
crypto_aead_setkey	0x3de7f547	mac80211;qca_cld3_kiwi_v2
crypto_ahash_digest	0x22abaff5	qcrypto_msm_dlkm
crypto_ahash_setkey	0xdb0fc569	qcrypto_msm_dlkm
crypto_alloc_aead	0xbfb0935d	mac80211;qca_cld3_kiwi_v2
crypto_alloc_ahash	0x36bfc081	qcrypto_msm_dlkm
crypto_alloc_shash	0x5b3ecf50	mac80211;qca_cld3_kiwi_v2
crypto_alloc_skcipher	0xb786e327	mac80211;qca_cld3_kiwi_v2
crypto_alloc_sync_skcipher	0xdea2eaf0	qcrypto_msm_dlkm
crypto_dequeue_request	0x6667eee7	qcrypto_msm_dlkm
crypto_destroy_tfm	0x996f6d67	mac80211;qca_cld3_kiwi_v2;qcrypto_msm_dlkm
crypto_enqueue_request	0xf7c5c1d7	qcrypto_msm_dlkm
crypto_init_queue	0x499043d3	qcrypto_msm_dlkm
crypto_register_aead	0xbfb4e84e	qcrypto_msm_dlkm
crypto_register_ahash	0x0f57885d	qcrypto_msm_dlkm
crypto_register_rngs	0xef36cc45	qrng_dlkm
crypto_register_skcipher	0x70b27b3c	qcrypto_msm_dlkm
crypto_shash_digest	0x5dd4ac73	mac80211
crypto_shash_final	0xee0bf3c2	qca_cld3_kiwi_v2
crypto_shash_finup	0xced3ee9b	mac80211
crypto_shash_setkey	0x72a3fb20	mac80211;qca_cld3_kiwi_v2
crypto_shash_update	0xd0b8754a	mac80211;qca_cld3_kiwi_v2
crypto_skcipher_decrypt	0x5528f6cb	mac80211;qca_cld3_kiwi_v2;qcrypto_msm_dlkm
crypto_skcipher_encrypt	0xcfad4135	mac80211;qca_cld3_kiwi_v2;qcrypto_msm_dlkm
crypto_skcipher_setkey	0x26a098fc	mac80211;qca_cld3_kiwi_v2;qcrypto_msm_dlkm
crypto_unregister_aead	0x27a735da	qcrypto_msm_dlkm
crypto_unregister_ahash	0x22c16cf5	qcrypto_msm_dlkm
crypto_unregister_rngs	0x5f5a140e	qrng_dlkm
crypto_unregister_skcipher	0x72f284fd	qcrypto_msm_dlkm
css_next_descendant_pre	0x9d887153	ssg
csum_ipv6_magic	0x4d65cbd5	ipam;rmnet_core
csum_partial	0xe113bbbc	cfg80211;mac80211;rmnet_core;smsc95xx
csum_tcpudp_nofold	0xd25bc5d4	ipam;qca_cld3_kiwi_v2;rmnet_core
debugfs_attr_read	0x227fcbb5	adsp_sleepmon;camera;cdsprm;gh_ctrl;msm_eva;msm_kgsl;qcom_iommu_debug;sys_pm_vx;ubwcp
debugfs_attr_write	0x2075e13d	adsp_sleepmon;camera;cdsprm;gh_ctrl;msm_eva;msm_kgsl;qcom_iommu_debug;sys_pm_vx;ubwcp
debugfs_create_atomic_t	0x1d71fcc2	qca_cld3_kiwi_v2
debugfs_create_blob	0xf50f79e8	qca_cld3_kiwi_v2
debugfs_create_bool	0x651e1d7a	camera;cs_dsp;dwc3_msm;input_cs40l26_i2c;ipam;msm_drm;msm_eva;msm_hw_fence;msm_kgsl;msm_video;nb7vpq904m;usb_f_gsi
debugfs_create_dir	0x6401ce4f	adsp_sleepmon;camera;cdsprm;cfg80211;cl_dsp_debugfs;cnss2;cnss_utils;cpufreq_stats_scmi_v2;cs_dsp;dwc3_msm;frpc_adsprpc;gh_ctrl;gsim;input_cs40l26_i2c;ipam;msm_drm;msm_eva;msm_geni_serial;msm_gpi;msm_hw_fence;msm_kgsl;msm_mmrm;msm_video;nb7vpq904m;pca9481_charger;pci_msm_drv;phy_msm_snps_eusb2;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_cpuss_sleep_stats;qcom_iommu_debug;qcom_stats;qcrypto_msm_dlkm;rmnet_ctl;sb_core;sec_battery;sps_drv;swr_ctrl_dlkm;synx_driver;sys_pm_vx;sysmon_subsystem_stats;thermal_config;ubwcp;usb_f_cdev;usb_f_gsi;wcd938x_slave_dlkm;wcd939x_slave_dlkm;wonder;wsa883x_dlkm;wsa884x_dlkm
debugfs_create_file	0x72b8adcd	adsp_sleepmon;camera;cdsprm;cl_dsp_debugfs;cnss2;cnss_utils;cpufreq_stats_scmi_v2;cs_dsp;dwc3_msm;frpc_adsprpc;gh_ctrl;gsim;input_cs40l26_i2c;ipam;max77705_charger;max77775_charger;msm_drm;msm_eva;msm_hw_fence;msm_kgsl;msm_mmrm;msm_video;nb7vpq904m;pca9481_charger;pci_msm_drv;phy_msm_snps_eusb2;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_cpuss_sleep_stats;qcom_iommu_debug;qcom_stats;qcrypto_msm_dlkm;sb_core;sec_battery;sps_drv;swr_ctrl_dlkm;synx_driver;sys_pm_vx;sysmon_subsystem_stats;thermal_config;ubwcp;usb_f_cdev;usb_f_gsi;wcd938x_slave_dlkm;wcd939x_slave_dlkm;wonder;wsa883x_dlkm;wsa884x_dlkm
debugfs_create_symlink	0x29235f89	msm_drm
debugfs_create_u16	0xd87e3670	ipam;qca_cld3_kiwi_v2
debugfs_create_u32	0x8c1b8852	camera;cl_dsp_debugfs;ipam;msm_drm;msm_eva;msm_gpi;msm_hw_fence;msm_mmrm;msm_video;qca_cld3_kiwi_v2;sb_core;sec_battery;sps_drv;synx_driver;ubwcp
debugfs_create_u64	0xab40bdbe	msm_drm;msm_hw_fence;qca_cld3_kiwi_v2
debugfs_create_u8	0x2ca08111	camera;dwc3_msm;ipam;msm_mmrm;qca_cld3_kiwi_v2;rmnet_ctl;sps_drv
debugfs_create_ulong	0xec383e5b	camera;msm_drm;synx_driver
debugfs_create_x32	0x66eb3a39	cs_dsp;dwc3_msm;msm_drm;msm_eva;pca9481_charger
debugfs_create_x64	0x41b00fd5	msm_drm
debugfs_create_x8	0xb620a5a3	phy_msm_snps_eusb2
debugfs_file_get	0x6291f956	cpufreq_stats_scmi_v2
debugfs_file_put	0x099d4614	cpufreq_stats_scmi_v2
debugfs_lookup	0x092dda18	camera;msm_kgsl
debugfs_remove	0x6fb25926	adsp_sleepmon;camera;cdsprm;cfg80211;cl_dsp_debugfs;cnss2;cs_dsp;dwc3_msm;frpc_adsprpc;gh_ctrl;gsim;input_cs40l26_i2c;ipam;msm_drm;msm_eva;msm_geni_serial;msm_gpi;msm_kgsl;msm_mmrm;msm_video;nb7vpq904m;pca9481_charger;pci_msm_drv;phy_msm_snps_eusb2;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_cpuss_sleep_stats;qcom_iommu_debug;qcom_stats;qcrypto_msm_dlkm;rmnet_ctl;sb_core;sec_battery;sps_drv;synx_driver;sys_pm_vx;sysmon_subsystem_stats;thermal_config;ubwcp;usb_f_cdev;usb_f_gsi;wcd938x_slave_dlkm;wcd939x_slave_dlkm;wonder;wsa883x_dlkm;wsa884x_dlkm
debugfs_rename	0x763313ce	cfg80211
default_llseek	0xa97d698b	cpufreq_stats_scmi_v2;msm_drm;nfc_nxp_sec;qca_cld3_kiwi_v2
del_timer	0xaa4008af	adsp_sleepmon;cfg80211;cnss2;mac80211;msm_kgsl;nfc_nxp_sec;qca_cld3_kiwi_v2;qce50_dlkm;qcom_q6v5_pas;rmnet_aps;rmnet_core;synx_driver;wcd939x_dlkm
del_timer_sync	0xf15e728e	blk_sec_wb;camera;cfg80211;cnss2;fingerprint;mac80211;msm_drm;msm_kgsl;pdr_interface;qca_cld3_kiwi_v2;qcom_sysmon;qcrypto_msm_dlkm;qseecom_dlkm;rmnet_aps;rmnet_core;rproc_qcom_common;usb_f_gsi
